21:56:52 WARN  riot                 :: Lexical form '2012-11-11T16:37:43-0800' not valid for datatype http://www.w3.org/2001/XMLSchema#dateTime
author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
Jay Myers,The Curious Case for Semantics and Linked Data at the Enterprise,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-01,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Jay Myers,1,,0
Chito Jovellanos,Using Linked Data To Improve Investment Performance,,,,,http://data.semanticweb.org/conference/iswc/2012/industry-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/industry-03,Proceedings of the ISWC 2012 Industry Track,,,,0,,0,Chito Jovellanos,1,,0
"Marco Luca Sbodio, Freddy Lecue and Anika Schumann",A Prototype for Semantic based Diagnosis of Road Traffic Congestions,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-47,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Retrieving the causes of road traffic congestions in quasi real-time is an important task that will enable city managers to get better insight into traffic issues and thus take appropriate corrective actions in a timely way. Our work, accepted at ISWC 2012 In-Use track, tackles this problem by integrating and reasoning over a variety of heterogeneous data sources including data streams. In this paper we present an initial prototype of our work for the city of Dublin, Ireland. ",,,0,,0,Marco Luca Sbodio;Anika Schumann;Freddy Lecue,3,,0
"Thomas Steiner, Ruben Verborgh, Raphaël Troncy, Joaquim Gabarro and Rik Van de Walle",Adding Realtime Coverage to the Google Knowledge Graph,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-02,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"In May 2012, the Web search engine Google has introduced the so-called Knowledge Graph, a graph that understands real-world entities and their relationships to one another. Entities covered by the Knowledge Graph include landmarks, celebrities, cities, sports teams, buildings, movies, celestial objects, works of art, and more. The graph enhances Google search in three main ways: by disambiguation of search queries, by search log-based summarization of key facts, and by explorative search suggestions. With this paper, we suggest a fourth way of enhancing Web search: through the addition of realtime coverage of what people say about real-world entities on social networks. We report on a browser extension that seamlessly adds relevant microposts from the social networking sites Google+, Facebook, and Twitter in form of a panel to Knowledge Graph entities. In a true Linked Data fashion, we interlink detected concepts in microposts with Freebase entities, and evaluate our approach for both relevancy and usefulness. The extension is freely available, we invite the reader to reconstruct the examples of this paper to see how realtime opinions may have changed since time of writing. ",,,0,,0,Thomas Steiner;Ruben Verborgh;Joaquim Gabarro;Rik Van de Walle;Raphaël Troncy,5,,0
"James Michaelis, Deborah L. McGuinness, Cynthia Chang, Joanne Luciano and Jim Hendler",Applying Multidimensional Navigation and Explanation in Semantic Dataset Summarization,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-26,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"A key objective of multidimensional dataset analysis is to reveal patterns of interest to analysts. However, multidimensional analysis has been observed to be dicult for analysts, due to the challenges of both presenting and navigating large datasets. This work explores how initial summarizations of multidimensional datasets can be generated for consuming parties (designed to reduce the number of data points which would need to be displayed) driven by summarization policies based on provided dataset values. Additionally, functionality for explaining the derivation of summarizations is being developed - in line with prior work on aiding analyst interactions with data processing systems. To help drive development of this work, as well as provide illustrative use cases, we are presently developing a dataset summarization generator as part of greater work being done in the Foresight and Understanding from Scientific Exposition (FUSE) program.",,,0,,0,Jim Hendler;James Michaelis;Cynthia Chang;Joanne Luciano;Deborah L. McGuinness,5,,0
"Kouji Kozaki, Hiroko Kou, Yuki Yamagata, Takeshi Imai, Kazuhiko Ohe and Riichiro Mizoguchi",Browsing Causal Chains in a Disease Ontology,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-51,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"In order to realize sophisticated medical information systems, many medical ontologies have been developed. We proposed a definition of disease based on River Flow Model which captures a disease as a causal chain of clinical disorders. We also developed a disease ontology based on the model. It includes definitions of more than 6,000 diseases with 17,000 causal relationships. This demonstration summarizes the disease ontology and a browsing system for causal chains defined in it. ",,,0,,0,Kazuhiko Ohe;Takeshi Imai;Hiroko Kou;Kouji Kozaki;Yuki Yamagata;Riichiro Mizoguchi,6,,0
"Junfeng Pan, Haofen Wang and Yong Yu",Building Large Scale Relation KB from Text,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-12,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Recently more and more structured data in form of RDF triples have been published and integrated into Linked Open Data (LOD). While the current LOD contains hundreds of data sources with billions of triples, it has a small number of distinct relations compared with the large number of entities. On the other hand, Web pages are growing rapidly, which results in much larger number of textual contents to be exploited. With the popularity and wide adoption of open information extraction technology, extracting entities and relations among them from text at the Web scale is possible. In this paper, we present an approach to extract the subject individuals and the object counterparts for the relations from text and determine the most appropriate domain and range as well as the most confident dependency path patterns for the given relation based on the EM algorithm. As a preliminary results, we built a knowledge base for relations extracted from Chinese encyclopedias. The experimental results show the effectiveness of our approach to extract relations with reasonable domain, range and path pattern restrictions as well as high-quality triples. ",,,0,,0,Haofen Wang;Yong Yu;Junfeng Pan,3,,0
"Yunjia Li, Giuseppe Rizzo and Raphaël Troncy",Creating Enriched YouTube Media Fragments With NERD Using Timed-Text,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-54,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"This demo enables the automatic creation of semantically annotated YouTube media fragments. A video is first ingested in the Synote system and a new method enables to retrieve its associated subtitles or closed captions. Next, NERD is used to extract named entities from the transcripts which are then temporally aligned with the video. The entities are disambiguated in the LOD clound and a user interface enables to browse through the entities detected in a video or get more information. We evaluated our application with 60 videos from 3 YouTube channels. ",,,0,,0,Raphaël Troncy;Yunjia Li;Giuseppe Rizzo,3,,0
"Yongchun Xu, Nenad Stojanovic, Ljiljana Stojanovic and Tobias Schuchert",Demo: Efficient Human Attention Detection in Museums based on Semantics and Complex Event Processing,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-18,Proceedings of the ISWC 2012 Posters & Demonstrations Track,In this paper we present a demo for efficient detecting of visitors attention in museum environment based on the application of intelligent complex event processing and semantic technologies. The detection takes advantage of semantics: (i) in design time for the correlation of sensors data via modeling of the interesting situations and annotation of artworks and their parts and (ii) in real-time for the more accurate and precise detection of the interesting situation. The results of the proposed approach have been applied in the EU project ARtSENSE.,,,0,,0,Nenad Stojanovic;Ljiljana Stojanovic;Tobias Schuchert;Yongchun Xu,4,,0
"Christina Lantzaki, Yannis Tzitzikas and Dimitris Zeginis",Demonstrating Blank Node Matching and RDF/S Comparison Functions,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-16,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"(This demo paper accompanies a research paper accepted for ISWC'2012) The ability to compute the differences that exist between two RDF/S Knowledge Bases (KBs) is important for aiding humans to understand the evolution of knowledge, and for reducing the amount of data that need to be exchanged and managed over the network in order to build synchronization, versioning and replication services. We will show how we can exploit blank node anonymity in order to reduce the delta size when comparing RDF/S KBs. We will show experimental results over real and synthetic data sets that demonstrate significant reductions of the sizes of the computed deltas, and how the reduced deltas can be visualized. ",,,0,,0,Yannis Tzitzikas;Christina Lantzaki;Dimitris Zeginis,3,,0
"Kostyantyn Shchekotykhin, Patrick Rodler, Philipp Fleiss and Gerhard Friedrich",Direct computation of diagnoses for ontology alignment,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-64,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Modern ontology debugging methods allow efficient identification and localization of faulty axioms defined by a user while developing an ontology. However, in many use cases such as ontology alignment the ontologies might include many conflict sets, i.e. sets of axioms preserving the faults, thus making ontology diagnosis infeasible. In this paper we present a debugging approach based on a direct computation of diagnoses that omits calculation of conflict sets. Embedded in an ontology debugger, the proposed algorithm is able to identify diagnoses for an ontology which includes a large number of faults and for which application of standard diagnosis methods fails. The evaluation results show that the approach is practicable and is able to identify a fault in adequate time. ",,,0,,0,Kostyantyn Shchekotykhin;Gerhard Friedrich;Patrick Rodler;Philipp Fleiss,4,,0
"Mathieu d'Aquin, Carlo Allocca and Trevor Collins",DiscOU: A Flexible Discovery Engine for Open Educational Resources Using Semantic Indexing and Relationship Summaries,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-20,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"We demonstrate the DiscOU engine implementing a resource discovery approach where the textual components of open educational resources are automatically annotated with relevant entities (using a named entity recognition system), so that these rich annotations can be searched by similarity, based on existing resources of interest. ",,,0,,0,Trevor Collins;Carlo Allocca;Mathieu d'Aquin,3,,0
"Miel Vander Sande, Ruben Verborgh, Sam Coppens, Tom De Nies, Pedro Debevere, Laurens De Vocht, Pieterjan De Potter, Davy Van Deursen, Erik Mannens and Rik Van de Walle",Everything is Connected: Using Linked Data for Multimedia Narration of Connections between Concepts,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-10,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"This paper introduces a Linked Data application for automatically generating a story between two concepts in the Web of Data, based on formally described links.  A path between two concepts is obtained by querying multiple linked open datasets; the path is then enriched with multimedia presentation material for each node in order to obtain a full multimedia presentation of the found path. ",,,0,,0,Pieterjan De Potter;Davy Van Deursen;Erik Mannens;Rik Van de Walle;Sam Coppens;Tom De Nies;Miel Vander Sande;Laurens De Vocht;Ruben Verborgh;Pedro Debevere,10,,0
"Valeria Fionda, Claudio Gutierrez and Giuseppe Pirró",Extracting Relevant Subgraphs from Graph Navigation,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-34,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"The main goal of current Web navigation languages is to retrieve set of nodes reachable from a given node. No information is provided about the fragments of the Web navigated to reach these nodes. In other words, information about their connections is lost. This paper presents an efficient algorithm to extract relevant parts of these Web fragments and shows the importance of producing subgraphs besides of sets of nodes. We discuss examples with real data using an implementation of the algorithm in the EXpRESs tool. ",,,0,,0,Claudio Gutierrez;Giuseppe Pirró;Valeria Fionda,3,,0
"Mikko Rinne, Esko Nuutila and Seppo Törmä",INSTANS: High-Performance Event Processing with Standard RDF and SPARQL,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-22,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Smart environments require collaboration of multi-platform sensors operated by multiple parties. Proprietary event processing solutions do not have enough interoperation flexibility, easily leading to overlapping functions wasting hardware and software resources as well as data communications. Our goal is to verify the applicability of standard-compliant SPARQL for any complex event processing task. If found feasible, semantic web methods RDF, SPARQL and OWL have the built-in support for interconnecting disjoint vocabularies, enriching event information with linked open data and reasoning over semantically annotated content, yielding a very flexible event processing environment. Our approach is designed to meet these requirements. Our INSTANS platform based on continuous execution of interconnected SPARQL queries using the Rete-algorithm is a new approach showing improved performance for event processing tasks over current SPARQL-based solutions. ",,,0,,0,Esko Nuutila;Seppo Törmä;Mikko Rinne,3,,0
"Vaibhav Khadilkar, Murat Kantarcioglu, Bhavani Thuraisingham and Paolo Castagna","Jena-HBase: A Distributed, Scalable and Efficient RDF Triple Store",,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-14,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Lack of scalability is one of the most significant problems faced by single machine RDF data stores. The advent of Cloud Computing and related tools and technologies has paved a way for a distributed ecosystem of RDF triple stores that can potentially allow up to a planet scale storage along with distributed query processing capabilities. Towards this end, we present Jena-HBase, a HBase backed triple store that can be used with the Jena framework. Jena-HBase provides end-users with a scalable storage and querying solution that supports all features from the RDF specification. ",,,0,,0,Bhavani Thuraisingham;Paolo Castagna;Vaibhav Khadilkar;Murat Kantarcioglu,4,,0
Jan Michelfeit and Tomá Knap,Linked Data Fusion in ODCleanStore Framework,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-37,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"As part of LOD2 project and OpenData.cz initiative, we are developing an ODCleanStore framework enabling management of Linked Data. In this paper, we focus on the query-time data fusion in ODCleanStore, which provides data consumers with integrated views on Linked Data; the fused data (1) has solved conflicts according to the preferred conflict resolution policies and (2) is accompanied with provenance and quality scores, so that the consumers can judge the usefulness and trustworthiness of the data for their task at hand. ",,,0,,0,Tomá Knap;Jan Michelfeit,2,,0
Enrico Motta and Francesco Osborne,Making Sense of Research with Rexplore,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-39,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"While there are many tools and services which support the exploration of research data, by and large these tend to provide a limited set of functionalities, which cover primarily ranking measures and mechanisms for relating authors, typically on the basis of simple co-authorship relations. To try and improve over the current state of affairs, we are developing a novel tool for exploring research data, which is called Rexplore. Rexplore builds on an intelligent algorithm for automatically identifying hierarchical and equivalence relations between research areas, to provide a variety of functionalities and visualizations to help users to make sense of a research area. These include visualizations to detect trends in research; ways to cluster authors according to several dynamic similarity measures; and fine-grained mechanisms for ranking authors, taking into account parameters such as ranking criterion, career stage, calendar years, publication venues, etc. ",,,0,,0,Francesco Osborne;Enrico Motta,2,,0
"Li Tian, Weinan Zhang, Haofen Wang, Chenyang Wu, Yuan Ni, Feng Cao and Yong Yu",MeDetect: Domain Entity Annotation in Biomedical References Using Linked Open Data,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-27,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Recently, with the ever-growing of textual medicine records, annotating domain entities has been regarded as an important task in the biomedical field. On the other hand, the process of interlinking open data sources is actively pursued within the Linking Open Data (LOD) project. The number of entities and the number of properties describing semantic relationships between entities within the linked data cloud are very large. In this paper, we propose a knowledge-incentive approach based on LOD for entity annotation in the biomedical field. With this approach, we implement MeDetect, a prototype system to solve the problems mentioned above. The experimental results verify the effectiveness and efficiency of our approach. ",,,0,,0,Yong Yu;Yuan Ni;Weinan Zhang;Feng Cao;Chenyang Wu;Li Tian;Haofen Wang,7,,0
"Joseph Benik, Guillermo Palma, Louiqa Raschid, Andreas Thor and Maria-Esther Vidal",Mining Patterns from Clinical Trial Annotated Datasets by Exploiting the NCI Thesaurus,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-43,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Annotations of clinical trials with controlled vocabularies of drugs and diseases, encode scientific knowledge that can be mined to discover relationships between scientific concepts. We present PAnG (Patterns in Annotation Graphs), a tool that relies on dense subgraphs, graph summarization and taxonomic distance metrics, computed using the NCI Thesaurus, to identify patterns. ",,,0,,0,Louiqa Raschid;Joseph Benik;Maria-Esther Vidal;Andreas Thor;Guillermo Palma,5,,0
"Elena Cabrio, Julien Cojan, Alessio Palmero Aprosio, Bernardo Magnini, Alberto Lavelli and Fabien Gandon",QAKiS: an Open Domain QA System based on Relational Patterns,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-24,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"We present QAKiS, a system for open domain Question Answering over linked data. It addresses the problem of question interpretation as a relation-based match, where fragments of the question are matched to binary relations of the triple store, using relational textual patterns automatically collected. For the demo, the relational patterns are automatically extracted from Wikipedia, while DBpedia is the RDF data set to be queried using a natural language interface. ",,,0,,0,Bernardo Magnini;Elena Cabrio;Julien Cojan;Alessio Palmero Aprosio;Fabien Gandon;Alberto Lavelli,6,,0
"Aibo Tian, Juan F. Sequeda and Daniel Miranker","Queries, the Missing Link in Automatic Data Integration",,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-41,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"This paper introduces the ontology mapping approach of a system that automatically integrates data sources into an ontology-based data integration system (OBDI). In addition to the domain and source ontologies, the mapping algorithm requires a SPARQL query to determine the ontology mapping. Further, the mapping algorithm is dynamic; running each time a query is processed and producing only a partial mapping sufficient to reformulate the query.  This approach enables the mapping algorithm to exploit query semantics to correctly choose among ontology mappings that are indistinguishable when only the ontologies are considered. Also, the mapping associates paths with paths, instead of entities with entities. This approach simplifies query reformulation. The sys- tem achieves favorable results when compared to the algorithms developed for Clio, the best automated relational data integration system. ",,,0,,0,Aibo Tian;Daniel Miranker;Juan F. Sequeda,3,,0
"Mariano Rodriguez-Muro, Josef Hardi and Diego Calvanese",Quest: Efficient SPARQL-to-SQL for RDF and OWL,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-59,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"In this demo we introduce Quest, a new system that provides SPARQL query answering with support for OWL~2~QL and RDFS entailments. Quest allows to link the vocabulary of an ontology to the content of a relational database through mapping axioms. These are then used together with the ontology to answer a SPARQL query by means of a single SQL query that is executed over the database. Quest uses highly-optimised query rewriting techniques to generate the SQL query which not only takes into account the entailments of the ontology and data, but is also 'lean' and simple so that it can be executed efficiently by any SQL engine. Quest supports commercial and open source databases, including database federation tools like Teiid to allow for Ontology Based Data Integration of relational and other sources (e.g., CSV, Excel, XML). Here we will briefly describe Quest mapping language, the query answering process and the most relevant optimisation techniques used by the system. We will conclude with a brief description of the content of this demo. ",,,0,,0,Josef Hardi;Mariano Rodriguez-Muro;Diego Calvanese,3,,0
"Patrick Rodler, Kostyantyn Shchekotykhin, Philipp Fleiss and Gerhard Friedrich",RIO: Minimizing User Interaction in Ontology Debugging,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-45,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Interactive ontology debugging incorporates a user who answers queries about entailments of their intended ontology. In order to minimize the amount of user interaction in a debugging session, a user must choose an appropriate query selection strategy. However, the choice of an unsuitable strategy may result in tremendous overhead in terms of time and cost. We present a learning method for query selection which unites the advantages of existing approaches while overcoming their flaws. Our tests show the utility of our approach when applied to a large set of real-world ontologies, its scalability and adequate reaction time allowing for continuous interactivity. ",,,0,,0,Gerhard Friedrich;Patrick Rodler;Philipp Fleiss;Kostyantyn Shchekotykhin,4,,0
"Kostis Kyzirakos, Manos Karpathiotakis, George Garbis, Charalampos Nikolaou, Konstantina Bereta, Michael Sioutis, Ioannis Papoutsis, Themistoklis Herekakis, Dimitrios Michail, Manolis Koubarakis and Charis Kontoes",Real Time Fire Monitoring Using Semantic Web and Linked Data Technologies,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-28,Proceedings of the ISWC 2012 Posters & Demonstrations Track,TELEIOS is a recent European project that addresses the need for scalable access to petabytes of Earth Observation data and the discovery and exploitation of knowledge that is hidden in them. In this demo paper we demonstrate a fire monitoring service that we have implemented in context of the project TELEIOS and explain how Semantic Web and Linked Data technologies allow the service to go beyond relevant services currently deployed in various Earth Observation data centers.,,,0,,0,Kostis Kyzirakos;Michael Sioutis;Charalampos Nikolaou;Manolis Koubarakis;Themistoklis Herekakis;Dimitrios Michail;Manos Karpathiotakis;Konstantina Bereta;Ioannis Papoutsis;Charis Kontoes;George Garbis,11,,0
Peter Patel-Schneider,"Reasoning in RDFS is Inherently Serial, at least in the worst case",,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-01,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Although it appears that reasoning in RDFS is embarrassingly parallel, this is not the case. Because all vocabulary is treated the same way in RDF, it is possible to extend the RDFS ontology vocabulary.  The ability permits the creation of useful constructs that are not amenable to parallelism, and that in the end require serial processing. ",,,0,,0,Peter Patel-Schneider,1,,0
Takahisa Fujino and Naoki Fukuta,SPARQLoid - a Querying System using Own Ontology and Ontology Mappings with Reliability,,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-57,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"Heterogeneity of ontologies on the web of data is very important problem. To solve this problem, there are a lot of researches about ontology mapping/alignment/matching. This paper shows an application called SPARQLoid that is using a query rewriting method to enable the users to query any SPARQL endpoint with the users own ontology even when their mappings are not reliable enough. Often ontology matching is very difficult problem and it sometimes produces mappings under a certain reliability. Based on the given reliability degrees on those mappings, SPARQLoid allows users to query data in the target SPARQL endpoints by using their own (or a specified certain) ontology under a control of sorting order based on their mapping reliability. ",,,0,,0,Takahisa Fujino;Naoki Fukuta,2,,0
"Han Wang, Nathan Wilson, Kathryn Dunn and Deborah L. McGuinness","Semantic Vernacular System: an Observation-based, Community-powered, and Semantics-enabled Naming System for Organisms",,,,,http://data.semanticweb.org/conference/iswc/2012/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2012/paper/poster-demo-42,Proceedings of the ISWC 2012 Posters & Demonstrations Track,"The Semantic Vernacular System is a novel naming system for creating named, machine-interpretable descriptions for groups of organisms. Unlike the traditional scientific naming system, which is based on evolutionary relationships, it emphasizes the observable features of organisms. By independently naming the descriptions composed of sets of observational features, as well as maintaining connections to scientific names, it preserves the observational data used to identify organisms. The system is designed to support a peer-review mechanism for creating new names, and uses a controlled vocabulary encoded in the Web Ontology Language to represent the observational features. A prototype of the system is currently under development in collaboration with the Mushroom Observer website. It allows users to propose new names and descriptions, provide feedback on those proposals, and ultimately have them formally approved. This effort aims at offering the mycology community a knowledge base of fungal observational features and a tool for identifying fungal observations. ",,,0,,0,Nathan Wilson;Deborah L. McGuinness;Han Wang;Kathryn Dunn,4,,0
